text,category,sentiment_score,sentiment
EXELLENT,library_facilities,1,positive
I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,teaching,0,neutral
I think number of books are very less according to the students .Only 2-3 copies are available.,library_facilities,-1,negative
content of course is more than enough to get the basics of that particular subject.,course_content,1,positive
All the activities are gud and appropriate for students,extracurricular,1,positive
Average,examination,0,neutral
It is statisfactory.,examination,1,positive
I like reading books in Library,library_facilities,1,positive
intraction is good and leacture delivery also good and then punctuality is also is good,teaching,1,positive
This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels.,extracurricular,1,positive
library facilities are good for students.,library_facilities,1,positive
Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.,course_content,1,positive
It is excellent.,extracurricular,1,positive
"our university is good in terms of lecture delivery,interaction and punctuality",teaching,1,positive
very good 5/5,examination,1,positive
"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual.",teaching,0,neutral
Good enough,labwork,1,positive
"teachers are good in subject,and punctuality",teaching,1,positive
they are giving good knowledge for us,course_content,1,positive
not bad,course_content,1,positive
Very good teaching and management but too much load on student and working hours,teaching,0,neutral
We don't get answers key and even the question papers for our mcq exams.There should be some means by which we could recheck our answers and get to know what mistakes we have made.,examination,-1,negative
i dont know,course_content,0,neutral
books are not available,library_facilities,-1,negative
Good marks distribution Students can easily check there performance throught the semester,examination,1,positive
not much good,examination,-1,negative
Excellent,library_facilities,1,positive
courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,course_content,0,neutral
average,teaching,0,neutral
IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS,extracurricular,1,positive
Poor,extracurricular,0,neutral
This is the best in our university because there is no other university which takes seriously for practical work.,labwork,1,positive
Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,examination,1,positive
excellent ...they  work hard..their way of teaching is also pretty good,labwork,1,positive
"good but there is more need of keeping books of general topics about social,polity,gk,...etc other than related to subject so that we will get some knowledge about country related issues..............",library_facilities,0,neutral
Quite a lot of events are organized and students have a all round growth which is a nice thing.,extracurricular,1,positive
my rating in this is 4/5,course_content,1,positive
satisfactory.,labwork,1,positive
it is difficult to understand experiment in 1 hour,labwork,-1,negative
"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents....",teaching,0,neutral
The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,teaching,1,positive
"good,they work very hard for us",course_content,0,neutral
good,examination,1,positive
i also want to participate in that activities but i can't take part in those activities because I'm a day scholar,extracurricular,-1,negative
good.,library_facilities,1,positive
good,teaching,1,positive
when compared to other universities we need better material and exposure.,course_content,-1,negative
lab practicals and evaluations are below average and need lot of changes and improvements,labwork,-1,negative
It's good,labwork,1,positive
very good it is a good oppurtunities to many students,extracurricular,1,positive
With the help of practicals students are able to understand all the concept.so it is also good.,labwork,1,positive
fine,library_facilities,1,positive
some teachers aren't doing their jobs in very well manner,teaching,-1,negative
content is very knowledgable and gives us huge knowledge of every subject,course_content,1,positive
Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking.,examination,0,neutral
there are doing there job good,library_facilities,1,positive
exam pattern is good and good paper checking but paper checking can be improved,examination,1,positive
"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres",teaching,-1,negative
Excellent lectures are delivered by teachers and all teachers are very punctual.,teaching,1,positive
time not sufficient,examination,-1,negative
I don't like the -ve marking system. appart from that everything is great,examination,0,neutral
More number of lab/practicals should be there to enhance practical knowledge.,labwork,-1,negative
not good,teaching,-1,negative
VERY GOOD,extracurricular,1,positive
There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.,labwork,-1,negative
very hard papers and main concept papers,examination,0,neutral
there should not be negative marking,examination,-1,negative
excellent!!!,examination,1,positive
good,extracurricular,1,positive
lab practical work help us to learn the things properly and evalution is also very necessary as it helps us to retain concepts,labwork,1,positive
Needs some improvement,course_content,-1,negative
HAVE TO IMPROVE,course_content,-1,negative
excellent  simply superb,extracurricular,1,positive
Labs helps to know how the work is done.It thought me a good lessons.,labwork,1,positive
yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful,course_content,0,neutral
It's appreciable,course_content,1,positive
"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good",teaching,1,positive
Perfect,course_content,1,positive
Probably the best part of university is its examination and its pattern.,examination,1,positive
"Library facilities are good, it maintains silence there and makes good environment to study but sometimes it goes very strict which is not required according to me.",library_facilities,1,positive
"very knowledgeable, some subjects do not have dedicated material like books available",course_content,0,neutral
GOOD,teaching,1,positive
Its good and proper design,library_facilities,1,positive
Good,course_content,1,positive
way of teaching is average,teaching,1,positive
everything is good for faculty,teaching,1,positive
Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,library_facilities,0,neutral
"there are lot of extracurricular activites held in university but so many of them are unknown to us ,the problem is there is no such ad's viewed to us
my rating is 3/5",extracurricular,0,neutral
very good,examination,1,positive
"Knowledge,depth of course is good but course material are not upto the mark",course_content,0,neutral
libary is giving a lot to us  but we are not getting it,library_facilities,0,neutral
average 3.5/5,labwork,0,neutral
The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.Through this students also get to know and visit different blocks of the university.The checking is also fair .,examination,1,positive
Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,labwork,-1,negative
i hate it,labwork,-1,negative
course content is knowledgeable,course_content,1,positive
They are conducted in proper way.,labwork,1,positive
It is good,teaching,1,positive
lab practical work can further be improved so that it can meet industrial standards,labwork,-1,negative
The library has insufficent number of books for all the students,library_facilities,-1,negative
laboratory provides us a good knowledge about practicals.,labwork,1,positive
average,library_facilities,0,neutral
Teachers are not giving depth of course . They trying to cover there work only .,course_content,-1,negative
content provided by you is excellent so that we learnt more and more about that particular subject,course_content,1,positive
This semester university has provide best teachers,course_content,1,positive
excellent work,labwork,1,positive
"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects",examination,-1,negative
all activties are good,teaching,1,positive
Very good indeed.,teaching,1,positive
not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,labwork,-1,negative
Some of the teachers are not well experienced but they are interactive and helpful and punctual.,teaching,1,positive
It is best,examination,1,positive
upto the mark,course_content,1,positive
for some subjects like maths and english(passage writing) the time duration neds to increase,examination,-1,negative
book issuing time should be increased for 2 weeks,library_facilities,-1,negative
in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,teaching,-1,negative
Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,course_content,0,neutral
"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket.",extracurricular,-1,negative
Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly,labwork,-1,negative
exams conducting is very good .but paper correction is very bad,examination,0,neutral
everything was good.,examination,1,positive
interaction of some faculty was good but not all faculty..,teaching,0,neutral
"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.",teaching,1,positive
"interaction satisfied, lecture delivery good,punctuality always on time",teaching,1,positive
library facilities are not good.They are not following the rules( they are using phones in library).,library_facilities,-1,negative
library facilities is good,library_facilities,1,positive
Yes,library_facilities,1,positive
marks distribution is good but paper checking is not that well,examination,0,neutral
exam pattern and marks distribution is very well procedure,examination,1,positive
excellent,labwork,1,positive
all are good,examination,1,positive
Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,course_content,-1,negative
It's good,teaching,1,positive
excellent,examination,1,positive
examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.,examination,1,positive
There is good evaluations in lab regarding practicle,labwork,1,positive
"excellent, but reduse the speed of teaching  ,up to understand the students",teaching,0,neutral
some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),teaching,-1,negative
In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,course_content,-1,negative
super,labwork,1,positive
"maintained punctuality, good lecture delivery",teaching,1,positive
it is good learning these courses,course_content,1,positive
Good,extracurricular,1,positive
Insufficient books,library_facilities,-1,negative
lab is very much helpful,labwork,1,positive
optimum content,course_content,1,positive
nice..enough,labwork,1,positive
Some subjects are good and predictable.Remaining courses are not satisfactory,course_content,0,neutral
They are really very intersting. All the students enjoys alot and get a chance to showcase there talent,extracurricular,1,positive
the system in library usually does not work . so it creates a problem for us to issue the book,library_facilities,-1,negative
helps in improving skills,labwork,1,positive
IT IS ALSO GOOD,library_facilities,1,positive
"Pattern is good ...marks distribution that includes ca,mt,et ,nd attendence all that is  little complicated",examination,0,neutral
strict paper correction.,examination,-1,negative
practicals are good but evaluations are not because they don't give enough time to work,labwork,0,neutral
depth of course is less on the other hand knowledge and material is good,course_content,0,neutral
more books should be provided and the issue period should be increased,library_facilities,-1,negative
very good,extracurricular,1,positive
library is awesome and rich,library_facilities,1,positive
Excellent,examination,1,positive
Content of the courses is good but some courses need improvement. Course material is not upto the mark.,course_content,-1,negative
syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,course_content,-1,negative
very well,extracurricular,1,positive
average,course_content,0,neutral
not very good... must be improved.,labwork,-1,negative
extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,extracurricular,-1,negative
labs are interesting and helpful toknoe the knowledge,labwork,1,positive
Practical and easy learning,labwork,1,positive
it is good,examination,1,positive
the best pattern of examination are in lpu .,examination,1,positive
Teachers are supposed to let the students know the actual use of the instruments used in the lab.,labwork,0,neutral
lecture delivery and punctuality was good but the interaction with students was not good.,teaching,0,neutral
Its Quite Good,teaching,1,positive
all activities are good,extracurricular,1,positive
Not good,examination,-1,negative
all are enough,extracurricular,1,positive
Extracurricular activities are good and provide a  good platform.,extracurricular,1,positive
university management is extordinary but some of the faculty is very bad,teaching,0,neutral
It's good when compare with my Btech lectures and teaching activities.,teaching,1,positive
satisfied,teaching,1,positive
library has providing excellent facilities,library_facilities,1,positive
exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5,examination,1,positive
provides good platform to interested students,extracurricular,1,positive
library facilities are good . Every book is available in the library,library_facilities,1,positive
practical work insome labs are not upto the marks,labwork,-1,negative
The best,extracurricular,1,positive
I donot participate,extracurricular,0,neutral
sometimes proper course material is not required.,course_content,-1,negative
it is good depending on the faculty,teaching,1,positive
"lecture delivery depends on teacher's knowledge, punctuality is good",teaching,1,positive
All is good. no other university is so serious about the concept of practicals.,teaching,1,positive
good but not good . sir improve the subject,teaching,0,neutral
course content is good,course_content,1,positive
Good,examination,1,positive
"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx",extracurricular,0,neutral
"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",teaching,0,neutral
Lectures helps in clear our concept,teaching,1,positive
every thing is fine.,examination,1,positive
"i've never went to library in lpu.so,i don't know about that.",library_facilities,0,neutral
sometime it is irrelevent with the ongoing courses.,course_content,-1,negative
All is good .,examination,1,positive
Its good,labwork,1,positive
good  but marks are not given properly,labwork,-1,negative
absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast,library_facilities,-1,negative
Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available,library_facilities,0,neutral
content does not provide deep knowledge,course_content,-1,negative
Good,library_facilities,1,positive
Labs are upto the mark.,labwork,1,positive
Hardworking,library_facilities,1,positive
exam pattern is good and good paper checking.,examination,1,positive
pattern of examination is good but paper checking is not at all going in a good way.,examination,0,neutral
Punctuality is good. Most of the teachers are not interacting with students .,teaching,0,neutral
very poor.no equipments are there,labwork,-1,negative
Great,examination,1,positive
"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........",labwork,0,neutral
library facilities are excellent...but only limited books are available ..so books should be increased.,library_facilities,0,neutral
it is good,extracurricular,1,positive
lot of activities and students get exposure in games.,extracurricular,1,positive
lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..,labwork,0,neutral
"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight.",examination,1,positive
"it is relly awesome,extirdinary and marvellous but no time to attend",extracurricular,1,positive
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine.",teaching,0,neutral
examination pattern is good,examination,1,positive
It is really gud,teaching,1,positive
its very tough and very diffcult to understand,course_content,-1,negative
I think stock is not enough more books are required.,library_facilities,-1,negative
They are sportive,extracurricular,1,positive
"not satisfactory, lab work must include latest technologies",labwork,-1,negative
THEY IS NO PROBLEM WITH THEM,library_facilities,-1,negative
COURSE IS GOOD NO PROPER COURSE MATERIAL,course_content,0,neutral
average,library_facilities,1,positive
"some lectures are excellent,but not everyone",teaching,0,neutral
Average,library_facilities,0,neutral
all things are good,examination,1,positive
good,library_facilities,1,positive
too much examinations,examination,0,neutral
it is not appropriate,course_content,-1,negative
uncertain,library_facilities,0,neutral
duration of issuing   books from library should be changed from 1week to 2 week that would be great.,library_facilities,-1,negative
Courses are very good and useful,course_content,1,positive
"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",teaching,1,positive
MCQ pattern is quite good and efficient way for evolving students.,examination,1,positive
satisfactory,examination,1,positive
teaching activities of our university is good. i am satisfied with it.,teaching,1,positive
Good.,extracurricular,1,positive
it is not very deep,course_content,-1,negative
Overall all these things are the plus point of the university,examination,1,positive
depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,course_content,0,neutral
faculties are doing quite well but need more senior lecturers.,teaching,0,neutral
No idea about the extracurricular activities.,extracurricular,0,neutral
teaching is good some lecturers are showing partiality between south people and north people,teaching,0,neutral
content of courses are average,course_content,0,neutral
Its good,library_facilities,1,positive
fair marking scheme and adaptable pattern,examination,1,positive
"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS",course_content,0,neutral
teacher are punctual but they should also give us the some practical knowledge other than theortical,teaching,0,neutral
good..,extracurricular,1,positive
super but paper checking is not good,examination,0,neutral
Perfect,extracurricular,1,positive
Its give various opportunities and exposure,extracurricular,1,positive
Very good,examination,1,positive
not bad..,teaching,1,positive
"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good",course_content,1,positive
yeah its obviously good,examination,1,positive
"Excellent exam pattern, paper checking in this university is easy",examination,1,positive
Examination pattern is good but marks distribution very confusing,examination,0,neutral
all labs and practical going on well,labwork,1,positive
content of the courses are update and mostly based on current technology.,course_content,1,positive
It was quite great and unique.,extracurricular,1,positive
i felt happy because it encourages our talents,extracurricular,1,positive
no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation,extracurricular,-1,negative
all are hardworking and punctual,library_facilities,1,positive
all good,examination,1,positive
it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.,extracurricular,1,positive
bad,examination,-1,negative
It is a good way in pattern,examination,1,positive
the staff is highly punctual ad interactive and encourage students to participate in the class,teaching,1,positive
"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",examination,0,neutral
as per the courses all the sub are providing  worth knowledge,course_content,1,positive
IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT,extracurricular,1,positive
extracurricular activities are excellent and provides best platform to students.,extracurricular,1,positive
"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university",teaching,1,positive
library is very well managed and provide needed facilities to us,library_facilities,1,positive
all are good,library_facilities,1,positive
these are very use full to the sudents forphysical activity and improvement of knowledge,extracurricular,1,positive
they are showing partiality between north indians and south indians,teaching,-1,negative
ok ok,labwork,1,positive
they are good but they should give exposure to more students and not the same.,extracurricular,0,neutral
some books are not available. So please provide,library_facilities,-1,negative
yeah quite well but ... some of the books are not available,library_facilities,0,neutral
average(in one term there should be only two major subjects based on numerical),course_content,0,neutral
Very Tough,examination,-1,negative
they are going excellent,extracurricular,1,positive
excellent..... u r the best in providing facilties and etc .. for extra curricular activities,extracurricular,1,positive
Satisfied,course_content,1,positive
IT IS GOING GOOD,teaching,1,positive
"Library facility is very good but there is a problem collection of books, Available books are very less for some subjects",library_facilities,0,neutral
All good,extracurricular,1,positive
Satisfied knowedgeable and proper course material,course_content,1,positive
labs n practicals are good.,labwork,1,positive
lab and practical work are litial good,labwork,1,positive
Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,labwork,0,neutral
in this university there is lot of events and lot of extra curriclar activities....,extracurricular,1,positive
Practical work is fair,labwork,1,positive
in examinations please try to give question papers,examination,0,neutral
everything is good.,examination,1,positive
that's  great,extracurricular,1,positive
"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",course_content,1,positive
Easily available course material with sufficient knowledge gaining,course_content,1,positive
as per the lab evaluation we r satisfied with  it,labwork,1,positive
GOOD,examination,1,positive
"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",teaching,1,positive
not too bad,course_content,1,positive
Excellent     but sometimes lack of books especially during exam times,library_facilities,0,neutral
as per the exam pattern maths exam always have to be subjective rather than objective.,examination,-1,negative
some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature,extracurricular,1,positive
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",teaching,0,neutral
good.,examination,1,positive
excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..,examination,0,neutral
According to me everything is going well in accordance to interaction.More than enough is served.,teaching,1,positive
library contains all the books regarding courses and other materials and very cooperative library staff,library_facilities,1,positive
subjects are appropriate but much depth is required as syllabus includes only basics not the details,course_content,0,neutral
"very good teaching facilities, lecture given are fruitful and teachers are punctual",teaching,1,positive
most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.,labwork,-1,negative
every one can tell depth of course but some one only give notes,course_content,0,neutral
very poor,examination,-1,negative
Very good,extracurricular,1,positive
Notbad,examination,1,positive
Its good,course_content,1,positive
Not good,course_content,-1,negative
Thats good,library_facilities,1,positive
exam pattern is good,examination,1,positive
the level of examination should be raised. Questions with reasoning must be included,examination,-1,negative
not bad,teaching,1,positive
lab work is also good,labwork,1,positive
course material is perfect,course_content,1,positive
"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good",examination,1,positive
Evaluation method is gud.But the content is more to write in file,labwork,0,neutral
not all the teachers are teaching well but it's fine,teaching,0,neutral
Required text books are not available to every student,library_facilities,-1,negative
Nice,course_content,1,positive
it is neither too good nor too bad,examination,0,neutral
lecture delivery is not so good,teaching,-1,negative
extra curricular are so good. university is providing many pathways to many students....apart from education,extracurricular,1,positive
GOOD AND STRICT,examination,1,positive
"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all.",examination,1,positive
Very Good,labwork,1,positive
nice,extracurricular,1,positive
The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,course_content,0,neutral
NOT GOOD ...,labwork,-1,negative
best,extracurricular,1,positive
lab work is nice.,labwork,1,positive
It is very good learning in this university,teaching,1,positive
some of them are very helpful and knowledgeable and some are just formality,course_content,0,neutral
all excellent,examination,1,positive
the lab evaluations are very strict,labwork,-1,negative
very good library facilities. Issuing time of book must be increased,library_facilities,1,positive
I am satisfied with the facilities but few books are limited of  database distribution,library_facilities,0,neutral
increasing confidence,extracurricular,1,positive
average,extracurricular,0,neutral
practicals are pretty well.,labwork,1,positive
good and punctual,teaching,1,positive
One of the best things I like about this university. The best of all.,extracurricular,1,positive
not so good,teaching,-1,negative
GOOD,labwork,1,positive
Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.,extracurricular,1,positive
there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,course_content,-1,negative
nice,teaching,1,positive
good delivery,teaching,1,positive
Extracurricular activities are good. It helps people to know their talent and build up their skills.,extracurricular,1,positive
Average,extracurricular,0,neutral
teachers give us all the information required to improve the performance.,teaching,1,positive
Library facilities are excellent in terms of good techniques that are used over there.,library_facilities,1,positive
ok,labwork,1,positive
i think mid trem should be also subjective,examination,0,neutral
It is good,extracurricular,1,positive
"too many examination, we are frustrated",examination,-1,negative
teaching is good but some lecturers are showing partiality between south people and north people,teaching,0,neutral
average,examination,0,neutral
super,library_facilities,1,positive
content is sufficient for us,course_content,1,positive
not effective and satisfactory in terms of lecture delivery by all the faculty .,teaching,-1,negative
Books are heavily outnumbered when compared to number of students this is the only problem with library.,library_facilities,0,neutral
Excellect,examination,1,positive
very good,teaching,1,positive
NICE TIMING..,examination,1,positive
its good,course_content,1,positive
good and qualified teachers but few lacks in interaction with students and fails to describe a topic,teaching,0,neutral
Accurate,course_content,1,positive
I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,course_content,1,positive
that is only good in this university,extracurricular,1,positive
practical work provides detail knowledge of theoretical work,labwork,1,positive
PAPER CHECKING IS VERY HARD REMAINING IS GOOD,examination,0,neutral
IP is provided to the students which is very helpful for the students.,course_content,1,positive
excllent,extracurricular,1,positive
All courses material provide very good knowledge in depth .,course_content,1,positive
never went there,library_facilities,0,neutral
Excellent,course_content,1,positive
Awesome,extracurricular,1,positive
extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,extracurricular,1,positive
in lab also they are showing parilaty,labwork,-1,negative
Our labs do not have all facalities.,labwork,-1,negative
excellent,extracurricular,1,positive
super,extracurricular,1,positive
They are good,library_facilities,1,positive
This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.,extracurricular,0,neutral
normal,teaching,0,neutral
IT IS GOOD,labwork,1,positive
the content of the course is knowledgeable,course_content,1,positive
Excellent,labwork,1,positive
Nice,library_facilities,1,positive
ok,course_content,1,positive
very strict,examination,-1,negative
syllabus is not in debth,course_content,-1,negative
very cooperative,library_facilities,1,positive
That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,examination,0,neutral
"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",labwork,-1,negative
Its upto mark and very efficiently held in our university,extracurricular,1,positive
better,library_facilities,1,positive
It is proper,course_content,1,positive
Outstanding,extracurricular,1,positive
all books are not available,library_facilities,-1,negative
"I like communication classes,courses are good",course_content,1,positive
its good for refreshment,extracurricular,1,positive
library facilites are good,library_facilities,1,positive
excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,teaching,1,positive
poor,labwork,-1,negative
satisfactory,labwork,1,positive
"the activities are very good but no time is given to students for participation, so its of no use",extracurricular,-1,negative
Capacity of library is less compared to size of university.,library_facilities,-1,negative
"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",teaching,0,neutral
very good indeed,teaching,1,positive
lab activities are good but not satisfactory in explaining point of view.,labwork,0,neutral
university offers alkot of activities which is excellent on their part as students are able to explore themselves,extracurricular,1,positive
All terms are good regarding the university activities,teaching,1,positive
very good.,teaching,1,positive
Awesome,course_content,1,positive
average,labwork,0,neutral
EXTRAORDINARY,extracurricular,1,positive
The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,course_content,1,positive
librery facilities are excellent,library_facilities,1,positive
Fine,library_facilities,1,positive
All books are not available,library_facilities,-1,negative
library facilities need to be improve by bringing some more books,library_facilities,-1,negative
way of teaching is good,teaching,1,positive
i felt its better because there is no problem from library facilities,library_facilities,1,positive
"good, teacher is delivery the lecture in the best way they can",teaching,1,positive
its fine.,labwork,1,positive
Material of the course is not good enough,course_content,-1,negative
Yes,examination,1,positive
